N,mean_mi,ci_width,error
1000,0.010247094654820543,0.003233151328057973,0.0002973296602170831
1801,0.010180329836345939,0.002576766627564919,0.0002305648417424786
3244,0.00999090027796005,0.0016620952547136446,4.1135283356589364e-05
5843,0.009670442676458148,0.0011508967525018913,0.00027932231814531243
10525,0.009613946766357077,0.0008932065133000607,0.0003358182282463835
18957,0.009859346337115042,0.0007070480520309144,9.041865748841797e-05
34145,0.009865737598992431,0.0005168193982988719,8.402739561102872e-05
61501,0.009834463806170026,0.00039451051697493507,0.00011530118843343373
110775,0.010040320927862794,0.0002425030666037785,9.05559332593335e-05
199526,0.009929695615793429,0.00025424337391348023,2.006937881003125e-05
