,tau_0,tau_2542,tau_5084,tau_7627,tau_10169,tau_12711,tau_15254,tau_17796,tau_20338,tau_22881,tau_25423,tau_27966,tau_30508,tau_33050,tau_35593,tau_38135,tau_40677,tau_43220,tau_45762,tau_48305,tau_50847,tau_53389,tau_55932,tau_58474,tau_61016,tau_63559,tau_66101,tau_68644,tau_71186,tau_73728,tau_76271,tau_78813,tau_81355,tau_83898,tau_86440,tau_88983,tau_91525,tau_94067,tau_96610,tau_99152,tau_101694,tau_104237,tau_106779,tau_109322,tau_111864,tau_114406,tau_116949,tau_119491,tau_122033,tau_124576,tau_127118,tau_129661,tau_132203,tau_134745,tau_137288,tau_139830,tau_142372,tau_144915,tau_147457,tau_150000
drop_0.00,5.904215659201833,0.2443415517581244,0.13036408980097913,0.08942267689696551,0.06589486062442809,0.05498289609989029,0.043676761246959905,0.039531107820099706,0.035506696007465234,0.030892938533110058,0.02806829385411348,0.02521159715517087,0.023410760842076783,0.022439807848740594,0.02027066517803475,0.018561332675365326,0.017183691261355105,0.016938821297834868,0.016190540383552388,0.01365044616587402,0.014234039447592722,0.013527074196200112,0.012585590540952119,0.012209596408484739,0.012080541007706024,0.010930929651524656,0.009928467462903635,0.011712074267973676,0.010271147949438121,0.009714656287519566,0.009697811269672934,0.009920404393947809,0.009785406451740104,0.008677923085625205,0.007915229765252304,0.007330058667541106,0.007171393321821226,0.0083583895771551,0.007528023065909517,0.00705742787317971,0.006972683060833884,0.007298513097389392,0.0065172697488148825,0.0066920907780658135,0.00728720125246726,0.006180882669513937,0.006173158945453253,0.006404508134252354,0.005202605437813189,0.0062995429731128195,0.006111730999995536,0.006149271183626169,0.00551928758000183,0.005873987875173261,0.005158398734662261,0.005163835327526896,0.004538073504603455,0.004675420393467643,0.005536536515129678,0.004816936007747475
drop_0.04,5.656998435923056,0.23203230992635399,0.1277869581353777,0.08677916165962511,0.06635847487259114,0.05204476543821783,0.04345323116560796,0.03628330776786691,0.032866004826251224,0.03033304476586559,0.026535997144509986,0.024931848017477495,0.022265399053978598,0.01979826989707455,0.019869226695915926,0.01777694333984939,0.01780170815669154,0.015931523184564332,0.016374796622037398,0.014236032581611402,0.013615544831198848,0.011831825736877933,0.012589755430595779,0.011600013088948407,0.011530924038149926,0.010853606426259878,0.009451085155656874,0.009235480746254477,0.010308930137303041,0.010072048110765277,0.00961529627685582,0.008546896529366578,0.007931732232390562,0.008552802778124891,0.008110334934116264,0.007542199903368532,0.00759674201593767,0.006964519567977079,0.0071826416188054435,0.007444730179142822,0.006608734866091736,0.005986400975791411,0.007158108545963909,0.005721168707653511,0.006531111674284622,0.0066995543669241195,0.005584691908994188,0.005631160716197568,0.005895001646023227,0.0060161815552434664,0.006245611198986893,0.005833423181419384,0.005560963250853296,0.005633109117047381,0.005129360968308491,0.00456091505350246,0.0048077861025159095,0.005084746706294339,0.005776747753724666,0.004669195094138238
drop_0.08,5.408530416511774,0.22309327113772456,0.12197373982491214,0.08290424909917907,0.063142929862993,0.051288883972093566,0.04367404819683959,0.03629488557060995,0.032336876987441324,0.029723033859600255,0.024907518401906376,0.022815822529367497,0.021012334062559607,0.019780354834405562,0.01790337274101525,0.017677357156530005,0.01582493704959866,0.01438623252373195,0.012882013318835156,0.014839676994148537,0.013583331378500176,0.01197320577446904,0.011482353836910366,0.010482469586362026,0.01131448165385141,0.010604370969836022,0.010765189459955669,0.00809264003375941,0.009399631891615181,0.009571972446677499,0.008511290455724591,0.008105166836150564,0.007868072363835379,0.008139325977768659,0.007157985848709933,0.00701090411586368,0.007416678070162384,0.007281401062659796,0.006303249103101097,0.0064097248990697825,0.006232405315612551,0.00637949541281059,0.006486973472111741,0.005981697119656603,0.005876078469071197,0.005203827407368048,0.0061153911990190005,0.006168838385756335,0.0055938087572543005,0.005235726024626576,0.005689059666929678,0.004552162460629882,0.00561237628776636,0.004813531929245778,0.0045210988775628526,0.005074871194034971,0.004259175160092824,0.004445541389377882,0.00482059041720078,0.004257667278947901
drop_0.12,5.176041234126094,0.21163285608029564,0.1135314831670848,0.07587515032738523,0.05907802661417063,0.04712454384542164,0.0407795492480658,0.034525319780501565,0.029847916070446935,0.027653171148494204,0.024790870029412184,0.023406390161765333,0.02034071487122659,0.018027190345359927,0.01670965914852076,0.016780299606168572,0.016002309520099123,0.015237941674650044,0.013292369781328469,0.013211079649702848,0.012404996930060846,0.012032198681166813,0.012174200916410898,0.010794876243090772,0.010861912854027983,0.00989910901152628,0.009123528670717904,0.009232387326205356,0.009262034892538715,0.009301620377708006,0.008221325928501904,0.008574982989287567,0.007439819102868494,0.007787806903961751,0.007176391213846179,0.0070658060300303,0.006905296468871688,0.006472907203502918,0.006684293643793669,0.00562860012192079,0.0056803326992861895,0.006166707669222603,0.005329295230033819,0.006252387896650546,0.006369986339815085,0.0057762116082144006,0.005565142752140511,0.004752102512988853,0.005331293066746604,0.005653415460302288,0.0054114282333364,0.004647571192619654,0.005222620690837886,0.004671117931158897,0.004613905704745491,0.004043351237960119,0.004641103499641355,0.003970416987013626,0.004085843481802081,0.004513440600051653
drop_0.17,4.930633656768111,0.1987105325118728,0.10900126624879362,0.073738886995563,0.05567417561372804,0.045754943474313595,0.03934903930477847,0.03231989114918005,0.02918710456247376,0.02624611435662395,0.02397992876769186,0.020954241806181793,0.019021638125799323,0.017939729101505264,0.017768223481533802,0.01592685446244218,0.015884587873947104,0.0129128311030135,0.013203176047459724,0.012621178647554899,0.01195011954034875,0.01197164105971863,0.010095652084738244,0.010328083696809301,0.010455811475469614,0.009573344208828143,0.009061713667252379,0.00862200164495213,0.009169303762624035,0.007595395556098526,0.008614769526426775,0.008296779369436545,0.007750738830625331,0.0069538142714202795,0.007309346243796272,0.0072348492447458085,0.006478462350144908,0.0065832663416243884,0.006672348202912934,0.006758218830286607,0.006671280600703819,0.0064674972848394,0.005919853202402534,0.005910705693106292,0.005278998906158005,0.0051363464578393974,0.005251838093473396,0.005464999587672781,0.0050544650114780374,0.005215307270214984,0.004864937197106306,0.004825610073009945,0.0046817925359177014,0.004221865074700953,0.0038279188438268127,0.004035983330105175,0.0036324553400105077,0.003700307580727652,0.00455277029661208,0.004102360594835699
drop_0.21,4.700261669221493,0.193615849877188,0.10415985852478127,0.07120197671836272,0.053031165642416576,0.04361620740419031,0.036799340590195226,0.03156035345533052,0.02766862107874843,0.025064276912731415,0.022070195689498383,0.019451059854321072,0.018370644902791878,0.016982984037742215,0.016411131395436544,0.014653611110493755,0.013693099353792532,0.013013058266655438,0.012499177073308467,0.012288205525468058,0.011494097126095447,0.010602011114172898,0.009862151122783977,0.009286736030955095,0.009141479431671597,0.009124930706248443,0.00911604231202726,0.008658339744444132,0.007842590619540001,0.00783749946872115,0.007758994332339049,0.0069985890987356554,0.0069138140211378344,0.006361941646752377,0.005914221085871368,0.006314541133018501,0.006639870065632425,0.005715172272802127,0.005776416166064239,0.006092268758623727,0.005890731838355078,0.0057247140379618,0.004835247108846417,0.005191109097048505,0.0046994824297441045,0.004408010785296781,0.005248571045054487,0.004949332792754164,0.003914601499156981,0.00498196795556347,0.004478303205189693,0.004610155300430026,0.004973889790822255,0.004316728522434098,0.004681449426788888,0.004368801370498449,0.004299669428610051,0.0042529265055023845,0.004047536791863005,0.0036993760639668478
drop_0.25,4.441433259596576,0.180092205486379,0.09996167212048494,0.06550599627680861,0.04999013172066817,0.040641803746235286,0.03527597024400474,0.02906497984336206,0.02711204669308004,0.023560973736495093,0.02234239872888452,0.020513472972832954,0.01832129228487209,0.015877128814856884,0.014578309142543563,0.013874216341072906,0.013476626065783887,0.013010094681732514,0.011940876848908143,0.011807709475110475,0.011049084561603122,0.010486574337148285,0.010213956815129783,0.010022839848630758,0.008136707018431482,0.008475483335536422,0.008612870925094886,0.008504122447229524,0.007802918446682456,0.008209553811486626,0.007765557286453001,0.006826561905841112,0.006252527981006522,0.006132702923872876,0.006276103623760942,0.006372050900477014,0.005588290879313526,0.006892614377021567,0.005802490295263465,0.004935094710044416,0.005468686582665316,0.005156393745982011,0.005123914177585514,0.0050785891771496575,0.0052054155560212435,0.004451949984030558,0.0052645160052482666,0.004670151819747305,0.004570843357505754,0.004545427538461254,0.004756667843404217,0.004597310177396087,0.004636387190566224,0.005124731029992094,0.003950707570627999,0.004559431681838218,0.004028107460690255,0.003891426427060676,0.0033286125872054595,0.0033570330898693573
drop_0.29,4.201546610190245,0.17009059819413366,0.09305887814533645,0.06445706939129539,0.04983977257166737,0.03902458246636836,0.03348428736089338,0.029659329075221414,0.024970838720163396,0.021531750152087102,0.021567088531732094,0.017252582089434,0.017251487979750794,0.015620011454543536,0.01456998002476945,0.01388538990832904,0.013065731095941013,0.011361233492402137,0.010444692317614294,0.010128045720396656,0.010237733171963758,0.009982253595012217,0.009065303136311133,0.009691085867885498,0.008612627225886828,0.009166330023356591,0.008272929469115583,0.007983656876532654,0.0063822751430063955,0.007496964318253951,0.00676851260798049,0.006193473703380128,0.006306615779263276,0.0063003394425713895,0.0069904326674272484,0.005831085739268917,0.005504761547367229,0.005306992950338641,0.005427282437002866,0.005437358821836242,0.005096040003063263,0.004788606136820407,0.0049092318369055865,0.004725709372261927,0.004070891663563213,0.004270651244264161,0.005453116528226954,0.00432062325637367,0.0039023355006835327,0.004463780368785141,0.0037708349143752073,0.004489982959035161,0.00460251556917866,0.004002516660323753,0.003961170687713835,0.003953266068338374,0.0036971639968102162,0.003425380841062143,0.003836826951922844,0.0035602293413892093
drop_0.33,3.959266003765502,0.16210783067738327,0.08631385599865612,0.05917886817695698,0.046193195495424555,0.03618229299422734,0.0287955831307939,0.026380510421013185,0.02343643574390119,0.021919243605653435,0.01830022350674744,0.01708236918247199,0.015406187372278399,0.014789407340798425,0.013319925312390063,0.012217888190516484,0.011512769150980815,0.010719906698124766,0.010794852213884307,0.009226022741690048,0.009784002656643667,0.008529457911277561,0.008370649797942045,0.008539109058261083,0.00798034981783793,0.008004913977442742,0.007344438574206485,0.006607191256447523,0.006890897547482006,0.006757218461374256,0.006124584026625282,0.00637430110012395,0.005792908398442114,0.005323696903713574,0.005582344262648699,0.0048508786960827985,0.0054196566811739654,0.004937445847731522,0.005162378483082989,0.005303083279349282,0.0054095836701428075,0.005044905177073812,0.004030779278720567,0.004600121095328103,0.004536523591898692,0.004228852964515009,0.004648686644779746,0.0037052767006132666,0.003575334182495818,0.0038828352302500155,0.0042901629991812075,0.003624913993301637,0.0031981863219279387,0.0035988006294288997,0.003648539355301675,0.0030864354787019837,0.004319562950954268,0.0038075435245550427,0.0029496876571185075,0.0032119257705564516
drop_0.37,3.7079649324068753,0.1522771389911363,0.08324698117171278,0.057963761945699285,0.0443001056053801,0.03394715695527348,0.02940576894436166,0.02482028421746104,0.02215189034945354,0.019607463421526816,0.018031249722081838,0.016002800221617465,0.01491747051403203,0.013108893556011528,0.011718897262970731,0.011004203216636912,0.010625293005848777,0.010012983207781052,0.010126076081097665,0.008617988868757344,0.008892820804811501,0.008068891508978828,0.0077538310265806935,0.008145799213492733,0.0068887329803481254,0.006167824937482409,0.006729352381411829,0.006140597955753724,0.006088046802852327,0.005926544022300448,0.005622698469837139,0.005702336514536289,0.004846449798543534,0.005000104726402713,0.005553046338936227,0.005682256523184654,0.005207188419363995,0.005391384627365571,0.0047241970600665935,0.004285954817404004,0.00416169867744245,0.003947332829281154,0.004057406401548536,0.004292636254124485,0.004541220693973592,0.003722441912358145,0.0040049629943655915,0.003942743448528778,0.003897512355305778,0.003778527138049802,0.003677762567923628,0.0035199129051333732,0.003832724610807967,0.003938920312957008,0.002816752777716882,0.002936101355617931,0.003497304298067191,0.0037273154840418293,0.0030224949569909944,0.0026940438226205053
