,tau_0,tau_2542,tau_5084,tau_7627,tau_10169,tau_12711,tau_15254,tau_17796,tau_20338,tau_22881,tau_25423,tau_27966,tau_30508,tau_33050,tau_35593,tau_38135,tau_40677,tau_43220,tau_45762,tau_48305,tau_50847,tau_53389,tau_55932,tau_58474,tau_61016,tau_63559,tau_66101,tau_68644,tau_71186,tau_73728,tau_76271,tau_78813,tau_81355,tau_83898,tau_86440,tau_88983,tau_91525,tau_94067,tau_96610,tau_99152,tau_101694,tau_104237,tau_106779,tau_109322,tau_111864,tau_114406,tau_116949,tau_119491,tau_122033,tau_124576,tau_127118,tau_129661,tau_132203,tau_134745,tau_137288,tau_139830,tau_142372,tau_144915,tau_147457,tau_150000
drop_0.00,0.005545811485129019,0.003665907253773344,0.004460643707206992,0.0036923789025105074,0.0043923702517643425,0.0018633274367120729,0.0026679283452964203,0.0015514032511278414,0.0029395091172238564,0.001824360074817812,0.0020697761861251233,0.0012974073543457363,0.0012925361719006445,0.002081801791255809,0.002168703461899513,0.0027478345439147208,0.0003505803563793816,0.0016168780736574085,0.0008962141310309317,0.0013418127611384742,0.0017220145386704709,0.0005947164221135843,0.001503252470607313,0.001089175350167787,0.0010973947427277062,0.001517177329045421,0.0013405621340346332,0.001130692477764611,0.0007534507112266798,0.001298318989692339,0.001178543913024432,0.0009320360885450371,0.0006569566374831848,0.0008558761582179423,0.0005265177087479935,0.0006407516955664802,0.00036060750462346306,0.0010176932343304382,0.0011017220732769074,0.0009508978042255601,0.0005446512545154263,0.0012167814788250088,0.0013606404680298887,0.00047719071991594435,0.001641985151273804,0.0011183528602968927,0.0011182163751848886,0.0011155095562626058,0.0009313638268349993,0.0007321527458838391,0.0004952291689080871,0.00016655908615237095,0.0007094048272989149,0.0007529212269087862,0.0005191006441008547,0.0007198589515024748,0.0007312342216524097,0.001022646529705897,0.0010159144001117852,0.0006363644569738376
drop_0.04,0.010054570293556091,0.003594825735757035,0.0025076194465838233,0.004034426841022041,0.0025222680791387934,0.0021831571534419677,0.001141459605522055,0.001002655619286722,0.001642166000182761,0.0016598426448224176,0.002129630503963166,0.0017754324471795115,0.0017972045099951001,0.0020394267907361883,0.0019523697826987888,0.0015065898316396602,0.0012623223450890931,0.0019517205250414672,0.0012905738204576495,0.0014822452405574601,0.0015710896586093128,0.0012372429789406921,0.0009951362955737525,0.0015153336600942442,0.0006121984273877177,0.0012001298535662909,0.001101258879370726,0.001331928377817775,0.0009366349159215997,0.000586093107152252,0.0010699503947341298,0.0016677216574632486,0.0004005547529930864,0.0007056982045405321,0.0007641003012563098,0.0007527285563578519,0.0007363858744127157,0.00043615856800844325,0.000608585771608489,0.000672939555397688,0.0008021005505195709,0.001040479109352365,0.0006209677902046152,0.0014523187206215678,0.0011915394812343485,0.0009675560478052097,0.0014744642756096937,0.0008862041223080189,0.00041765980419718564,0.000169326199120625,0.0004966590616809068,0.000573905089061347,0.0005289362096049779,0.0008347674704636404,0.000755215953207503,0.0005656626480569775,0.0005862586435048618,0.0006453182274098055,0.0012066748154584302,0.0014734814458157613
drop_0.08,0.011200162406147098,0.006315710824801656,0.0037533193035162713,0.0015743424677559072,0.0016755494976146497,0.0033766605588556476,0.0006529743998030092,0.0024549925884521043,0.00264696405760335,0.0010697856001711254,0.0017108052582424074,0.0020260774852515757,0.0006077276196232653,0.0006114316578592601,0.0022075317505831486,0.0011289266432099924,0.0010972164424018311,0.0007779642149298635,0.0013193622559484288,0.00046959172746102284,0.0008343611479447754,0.0018824185130569715,0.0005839454153938334,0.001433965043470591,0.0009538786760218185,0.0015131154277638983,0.0010728876282065454,0.0018437926637690837,0.0014657230237351024,0.0005871780866158855,0.0017034033362271779,0.001266211711030019,0.0013632000403036018,0.0014883003426173125,0.001151948056822906,0.0010862396421769363,0.001361771182823168,0.0011574997647270846,0.0007195088540145985,0.0004975226711468395,0.0008135098472738254,0.000917070770608054,0.0011887855620172096,0.0011185580098761374,0.00030716727924121246,0.0009044885778633798,0.0010057256116680212,0.0006156272871416409,0.0011164263272144192,0.001354418204731194,0.0014684355098393397,0.000459528335030515,0.0009175534845534587,0.0009571346977497623,0.0007396480951992366,0.0006610816382759577,0.0004961964308512545,0.0008788380452548785,0.0008984429760422964,0.0009662405639557067
drop_0.12,0.014752062357854638,0.00314244731712712,0.002824706372223877,0.0015075789285822006,0.0031527759665421116,0.0016367446027620066,0.002010335254259576,0.002324537776849509,0.001144296866555161,0.003046421315325629,0.002484360970025141,0.0010755906549790915,0.001456648086033091,0.0016856116314572375,0.0012499308841655635,0.0017265668135076425,0.0010580424634217926,0.0016192609497603727,0.0006121118553472084,0.0014967621439802084,0.0014054680457038734,0.0010906824899423332,0.0008027558630239794,0.0013580538861393972,0.001132662513744236,0.0011235931595573554,0.0011386218184374632,0.0011768063027405506,0.0008447515171241146,0.0017087523855548522,0.001472715591035779,0.0005691877875185078,0.0014627956417541336,0.0007324935613806935,0.0012134925154648466,0.0003085998176842045,0.0006005187285007866,0.0006933042190452446,0.00041913193505172935,0.000422301188010831,0.0008689493578841455,0.0009017771470274304,0.0007078308289280259,0.0009251390810954831,0.0009994907825448685,0.000593694649668495,0.0015037181792588456,0.0008725729944116808,0.0004118028094813176,0.0010965758370333097,0.000990838019192,0.0010065760244127966,0.0013103433401237138,0.0007699517123953692,0.0011057792272682928,0.0006093219493547664,0.0010754547767491353,0.0008430681406053067,0.0006448705623477825,0.0007481004391084877
drop_0.17,0.018147062712769193,0.004428552480260124,0.0034647519082683467,0.0030956620970809434,0.002042326006243375,0.0014759612794156436,0.0028403609364163326,0.0014985530318776636,0.002255420034045514,0.000612317462925363,0.00102355924783698,0.0010642725046981466,0.0008994413192077548,0.0010360252459264605,0.0020393222413630785,0.0015880492872249227,0.002243778816664903,0.0017488083410118515,0.0007768518591054913,0.001032200488929386,0.0013239301213836157,0.0008660580271086262,0.0012148637236802293,0.0012482213866937578,0.0009103443737909828,0.0008680690431129432,0.0007004254832193326,0.0011422589480344922,0.0014344030733573795,0.00044649496671184943,0.0015348923621487482,0.001072975299185372,0.0005253817296558017,0.0010630308575167056,0.0005799091049944219,0.0006042308741582476,0.0008638532360443673,0.0012265666473089203,0.0010069317251687364,0.0015191962052604673,0.0014667430536722318,0.0006795653580069513,0.0008322788906449459,0.001175695471468344,0.0006728289862882922,0.0003800595734039425,0.0006477330505219045,0.00121628384000657,0.0009804883548178397,0.0009471138511897708,0.0008148566969894502,0.0005199642935742536,0.00045808153320035664,0.0003191931386831565,0.0008666901364083441,0.0009404514065015342,0.00044984341028180154,0.000515648582918842,0.0008798264914464428,0.0014139368230619927
drop_0.21,0.010831144175238039,0.003271385810427622,0.002382471575592252,0.0026992305057754627,0.0024305622108832864,0.0018449779609569436,0.0020596431718237266,0.001427041934454796,0.0019865110453862406,0.002102983352150408,0.0028726419669685525,0.001912886835328129,0.0014728135892932484,0.0007843368613016677,0.0017335224561804573,0.000979116014931423,0.0018710525194160289,0.001458750532321215,0.0005313244973472438,0.0010580868915852136,0.0014805719751215343,0.0017640632164258496,0.0009230966482153304,0.0009268827471106627,0.0012593538964753182,0.001321056925317308,0.00042371620472395354,0.0011508746999199086,0.0012919678496404133,0.0009238543870009981,0.0011757101420885024,0.00100401981321307,0.0008581231832456884,0.0008586400323408105,0.0013607566742268066,0.0012612427862479488,0.0013100361181924718,0.0009426107357144745,0.00046067634780664447,0.0008122799308860746,0.0009099722370098577,0.0012370726192961464,0.0012205655700897396,0.00048494973675839635,0.0006229708176581265,0.0007609514904264216,0.0005780121368360855,0.0009850915163715235,0.0007828088731607302,0.0005966404317664634,0.0006865760003149221,0.0009333072935655421,0.0013207401518462137,0.00038521988082347596,0.0009891954435037606,0.0004287283968677452,0.0008167662040165572,0.0008279451189558397,0.0008158069141307094,0.0010511462386076375
drop_0.25,0.023109349906456907,0.004374954918220607,0.00285335116522833,0.0032293262394414114,0.0018499542118932898,0.0025823367316468735,0.002036435483323781,0.002653261453909405,0.0018446070960919658,0.0014037868722883732,0.0007910054252909097,0.0014446435889015224,0.000719690427072033,0.0012696917807462104,0.00117808173096365,0.0014956999027765914,0.0010166461062370423,0.001500121419122431,0.0010094770746340307,0.001160260322795939,0.0008867616800956611,0.0005644458136267218,0.0012825457700142329,0.0005675727677348792,0.0007896441773004751,0.0009452675600749424,0.0009040736438340572,0.000790488697394221,0.0015422781381139318,0.001811992456705551,0.0008087730324560018,0.0011237232099883601,0.0010438809798559798,0.0006329946822684557,0.0010311317775611973,0.001426091986686922,0.0013439373628447283,0.0008717800887848717,0.0009409908100829638,0.0008338690365589591,0.0011595746293601404,0.000916421492590981,0.0006898037170634916,0.0008785146653951459,0.0008763279927335582,0.0013098267047002277,0.0008238805611416922,0.0012828934523298585,0.0005843251627260751,0.0012033836754173468,0.001324931189253309,0.0003797701491760414,0.0005407639504722136,0.0014906667037245683,0.00017979714551912538,0.0008608690355611456,0.0006208092547973722,0.0006238473948116927,0.0002599230325406054,0.0006620582747831568
drop_0.29,0.014753832623178012,0.004680361800782256,0.0029309346368870527,0.0025336893336998954,0.002633658529491616,0.002618056582104639,0.0012347831922027866,0.0023993303508567537,0.0019919850994350253,0.0011636124162867536,0.002422163494091763,0.0013164417042550148,0.001990485667014221,0.0005253372085732049,0.002853336999504934,0.0009802042986036853,0.0008586810704915096,0.0017499075967684409,0.001466160551025482,0.0016906104391273035,0.0013780890821173566,0.0010310901012566642,0.0008539016276564713,0.0015521677066762723,0.0011933519630473075,0.0010610402536080068,0.0019554860173897825,0.0007116035437601923,0.0008160161670449171,0.0009760791298113816,0.0004978101922599876,0.0005881291426431659,0.0008542165629856185,0.0005648322905532312,0.0009141125189802091,0.0016944410571261444,0.000790336020827171,0.0005739388624184704,0.0005770993598375302,0.0008405752454161707,0.0009989408019171675,0.0006062983365781714,0.0008089477870185607,0.0010099575230460326,0.0014660561256959954,0.000659394514816958,0.0010301318350526257,0.00047166317204842774,0.001273240422148814,0.00031932838388275085,0.0006836971167482377,0.0013143520424745692,0.00076189166544904,0.00040648513441188234,0.0002912130252923689,0.000883859774086579,0.0006277283689684819,0.0005641222967657001,0.0006278794060824608,0.000836996887119312
drop_0.33,0.01690904138376875,0.005609210304390572,0.0019341002466026049,0.0033077054415664125,0.002890212356037938,0.0007730719725829513,0.0007184939034224322,0.0021597518522737617,0.001642266919893893,0.0018956043832517304,0.0009664552684284567,0.0013027096601920438,0.0014485624250455728,0.0014535578210695041,0.0016613216844690467,0.0015558315864770353,0.0009400544857583237,0.001715230688776171,0.001795349468748989,0.001084339311212792,0.0010212652457800057,0.0005531561340451545,0.0007988027759024958,0.0007137524216709915,0.0008788106005293709,0.0009597973138944899,0.0006773036717697828,0.0009601728587840209,0.00042724787025352805,0.00043955710225558397,0.0009668765605659908,0.001381872338735584,0.000839002028966638,0.0012342102273571272,0.0009514586475422995,0.0006853914446006096,0.0004034945108749554,0.00114104127053625,0.00030532235651368556,0.001361483499720417,0.0011917957914056275,0.001151189975553947,0.0009703961895952936,0.0006737868689862023,0.000832925559165821,0.00034591032087117067,0.0004608493432889459,0.000578828099514866,0.0007981594289543174,0.0012572320303936067,0.0005065329170819588,0.0009428837682949201,0.0004435408255470829,0.000667716562629591,0.00028471202947992925,0.0011420799871948533,0.0005220535587838858,0.0008289421374260498,0.0005038635680342019,0.0005966325337909483
drop_0.37,0.020688377651178768,0.0023181545392181864,0.002237065788906205,0.0017198670479046877,0.002114424132798845,0.002367599252708081,0.0022747578330116623,0.0009898582032601176,0.001815977746136415,0.0010966563092873025,0.0028593383940453514,0.001631169873695121,0.001807264315730725,0.0019028694323080806,0.0016625692684426657,0.0011895167139378267,0.0015369435942188996,0.0017422972585523183,0.00101083931422042,0.0014139361891427273,0.000998979458795551,0.001166208143584309,0.0009360378949901189,0.0017049373645028317,0.00026063244403135,0.0007457030489666312,0.0005111668556416941,0.0015348688629233343,0.0013299305784371367,0.0006865344128293597,0.0008975211626007781,0.0014529780182486606,0.0002286657671406812,0.0006670164190829011,0.0005585374278139153,0.0012475932047563735,0.0013184361767911096,0.000739761335960642,0.0014860559473687293,0.0008391729139520592,0.0009204624404853716,0.0004238613819891532,0.0006231162836446127,0.0006259598700278783,0.0009295369969666414,0.0006120050873754545,0.00029627687722276805,0.0010047985718069107,0.000643713526003431,0.0011344316716332676,0.000983211304061547,0.0010736778059149315,0.0009469664100735953,0.0008405101795781739,0.0003601480059841717,0.0005690705125758308,0.0008606008652854096,0.0013712799240338859,0.0003927017049715432,0.0005544642984391946
