delay,mi_pred_bits,mi_steer_bits,gap_bits,fail_rate,n_pred_samples,n_steer_samples
0,9.865702908311816e-07,0.03160643879275175,-0.03160545222246092,0.0,200000,199800
2,1.1605120011263506,0.05416091964871788,1.1063510814776327,0.0,200000,199400
4,1.0720830460274904,0.009371285689290331,1.0627117603382001,0.0,200000,199000
6,0.027932855637848482,0.000937429626072007,0.026995426011776475,0.0,200000,198600
8,1.5392411853884433,0.0002729289887171974,1.5389682563997262,0.0,200000,198200
10,0.00927129556777494,0.00036168097062140456,0.008909614597153536,1.0,9731,7531
12,0.011289820169080153,0.0020944645810885617,0.009195355587991592,1.0,10050,7450
14,0.010468920288603913,0.02172738097444333,-0.011258460685839416,1.0,10422,7422
16,0.011907453657895301,0.07312931284605033,-0.06122185918815503,1.0,11271,7871
18,0.02077901752585522,0.24021714720776563,-0.2194381296819104,1.0,11733,7933
20,0.02087331559282161,0.39223587499842155,-0.3713625594055999,1.0,12397,8197
22,0.06158168245973994,0.38174008571462975,-0.3201584032548898,1.0,12288,7688
24,0.0735341583004054,0.4883309630140857,-0.4147968047136803,1.0,12841,7841
26,0.12849822018379217,0.5201092871174962,-0.39161106693370396,1.0,12913,7513
28,0.15565022563531009,0.37822370359611024,-0.22257347796080015,1.0,13463,7663
30,0.15430621917032392,0.39111614569357517,-0.23680992652325125,1.0,13998,7798
32,0.24394644902680696,0.30774502274812965,-0.0637985737213227,1.0,14132,7532
34,0.24213841761217128,0.25653262714962594,-0.014394209537454655,1.0,14910,7910
36,0.307046471889976,0.24540720282062414,0.06163926906935188,1.0,15054,7654
38,0.27344494253148366,0.28411112804553035,-0.010666185514046689,1.0,15732,7932
40,0.27027531054586984,0.23547075954126895,0.03480455100460089,1.0,16618,8418
42,0.318259583021648,0.23086320512007993,0.08739637790156804,1.0,16387,7787
44,0.32469524715849185,0.22132147371450714,0.10337377344398471,1.0,17013,8013
46,0.3437631273228709,0.16982127538985903,0.17394185193301187,1.0,17551,8151
48,0.3688979987672722,0.2160326810121974,0.1528653177550748,1.0,17730,7930
50,0.3424487512725021,0.22697534879040346,0.11547340248209867,1.0,18486,8286
52,0.29446178690710484,0.16639418723673652,0.12806759967036832,1.0,19362,8762
54,0.3891927185689252,0.16524166581207972,0.22395105275684546,1.0,19303,8303
56,0.34193344741384607,0.10539110891357438,0.23654233850027168,1.0,19878,8478
58,0.37798005776224897,0.05922184087955904,0.3187582168826899,1.0,20033,8233
60,0.41340966929638817,0.07266564661733388,0.3407440226790543,1.0,20253,8053
62,0.35466125372652735,0.09660399390599556,0.2580572598205318,1.0,20568,7968
64,0.42836781173047567,0.1065121620228118,0.3218556497076639,1.0,21262,8262
66,0.36534194670240044,0.018832116834678662,0.3465098298677218,1.0,21677,8277
68,0.3480218367052136,0.08438871688235469,0.26363311982285886,1.0,21840,8040
70,0.35025610208817,0.06215402207878788,0.2881020800093821,1.0,22169,7969
72,0.3706358796305409,0.025469862298385187,0.3451660173321557,1.0,22913,8313
74,0.33598803615904393,0.04835227040476791,0.287635765754276,1.0,23785,8785
76,0.32525220438857944,0.029785139313350167,0.29546706507522924,1.0,24267,8867
78,0.30905034418863203,0.01767869064406283,0.2913716535445692,1.0,24296,8496
